,ACCESSNO,CATEGORYNO,SITE,SITENO,PROVENANCE
3_0630,3,630,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Section number - 5E Trench Number - IC.3 Excav Date - 00/00/36 In humus and pebbles at 54 cm. From top of heap."
3_0631,3,631,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Provenience Description - 27cm ~N of stake IC3/5E Section number - 5E Trench Number - IC.4 Excav Date - 00/00/36"
3_0632,3,632,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Section number - 5E Trench Number - IC.3 Excav Date - 00/00/37 In humus well below shell."
3_0633,3,633,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Section number - 5E Trench Number - IC.3 52cm from top of heap in humus"
3_0634,3,634,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Provenience Description - In plowed shell. Section number - 5E Trench Number - IC.3"
3_0635,3,635,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Provenience Description - In shell below plowline. Section number - 5E Trench Number - IC.2"
3_0636,3,636,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Section number - 5E Trench Number - IC.2 Excav Date - 00/00/36 In hearth complex at base of shell."
3_0637,3,637,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Section number - 5E Trench Number - IC.2 In pebbles below shells."
3_0638,3,638,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Section number - 5E Trench Number - IC.2 In pebbles below shells."
3_0639,3,639,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Provenience Description - Ia? In humus at 56cm below top of heap, 27cm north of stake IC.3/5E Section number - 5E Trench Number - IC.2 Excav Date - 00/00/36"
3_0640,3,640,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - IC.2 Excav Date - 00/00/36 From hearth complex."
3_0641,3,641,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - IC.2 Excav Date - 00/00/36 Below 2nd shell pocket."
3_0642,3,642,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - ID.2"
3_0644,3,644,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - ID.2 Excav Date - 00/00/36 Bottom level of shells."
3_0645,3,645,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - ID.2 Excav Date - 00/00/36 Upper level of shells under sod."
3_0646,3,646,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - IC.4 Excav Date - 00/00/36 Found under rock in shells."
